"Ítem";"Descripción";"Grupo";"Precio Venta"
"41";"TALLARIN ESPINACA Nº2 X 500g(12u)VOLCAN";"VOLCAN";"$ 1.381,38"
"434";"TALLARIN FINO X 500g(12u)VOLCAN";"VOLCAN";"$ 1.335,62"
"42";"TALLARIN MORRON Nº2 X 500g(12u)VOLCAN";"VOLCAN";"$ 1.381,63"
"472";"TIRABUZON COLOR X 500g(12u)VOLCAN";"VOLCAN";"$ 1.218,34"
"425";"TIRABUZON HUEVO X 500g(12u)VOLCAN";"VOLCAN";"$ 1.171,17"
"446";"#AVEMARIA SEMOLA X 500g(12u)VOLCAN";"VOLCAN SEMOLA";"$ 948,09"
"451";"#CABELLO ANGEL SEM. X 500g(12u)VOLCAN";"VOLCAN SEMOLA";"$ 1.053,91"
"90";"#CODO GRANDE SEMOLA X 500(12u)VOLCAN";"VOLCAN SEMOLA";"$ 948,09"
"1280";"#MOÑOS SEMOLA X 500g(12u)VOLCAN";"VOLCAN SEMOLA";"$ 1.101,08"
"1214";"#MOSTACHOL SEMOLA X 500g(12u)VOLCAN";"VOLCAN SEMOLA";"$ 948,09"
"421";"#MUNICION SEMOLA X 500g(12u)VOLCAN";"VOLCAN SEMOLA";"$ 948,09"
"1281";"#NIDO SEMOLA Nº1 X 500g(12u)VOLCAN";"VOLCAN SEMOLA";"$ 1.054,88"
"1231";"#NIDO SEMOLA Nº2 X 500g(12u)VOLCAN";"VOLCAN SEMOLA";"$ 1.054,88"
"758";"#NIDO SEMOLA Nº3 X 500g(12u)VOLCAN";"VOLCAN SEMOLA";"$ 1.054,88"
"418";"#TIRABUZON SEMOLA X 500g(12u)VOLCAN";"VOLCAN SEMOLA";"$ 948,09"
